Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,table_name,industry,CES
2014,5985.0,6007.0,6038.0,6084.0,6109.0,6133.0,6178.0,6210.0,6242.0,6259.0,6272.0,6293.0,Construction+CES2000000001,Construction,CES2000000001
2015,6320.0,6361.0,6334.0,6392.0,6427.0,6441.0,6472.0,6490.0,6508.0,6547.0,6598.0,6630.0,Construction+CES2000000001,Construction,CES2000000001
2016,6631.0,6640.0,6678.0,6702.0,6689.0,6701.0,6735.0,6736.0,6768.0,6799.0,6823.0,6818.0,Construction+CES2000000001,Construction,CES2000000001
2017,6840.0,6881.0,6902.0,6916.0,6931.0,6962.0,6968.0,7002.0,7013.0,7031.0,7068.0,7091.0,Construction+CES2000000001,Construction,CES2000000001
2018,7093.0,7184.0,7194.0,7212.0,7274.0,7292.0,7318.0,7347.0,7375.0,7389.0,7386.0,7396.0,Construction+CES2000000001,Construction,CES2000000001
2019,7425.0,7395.0,7425.0,7468.0,7478.0,7502.0,7526.0,7530.0,7547.0,7553.0,7541.0,7527.0,Construction+CES2000000001,Construction,CES2000000001
2020,7580.0,7615.0,7546.0,6528.0,7010.0,7156.0,7192.0,7224.0,7251.0,7300.0,7318.0,7354.0,Construction+CES2000000001,Construction,CES2000000001
2021,7363.0,7298.0,7406.0,7407.0,7395.0,7387.0,7413.0,7429.0,7475.0,7513.0,7561.0,7594.0,Construction+CES2000000001,Construction,CES2000000001
2022,7587.0,7672.0,7704.0,7704.0,7743.0,7757.0,7786.0,7798.0,7826.0,7839.0,7860.0,7884.0,Construction+CES2000000001,Construction,CES2000000001
2023,7921.0,7947.0,7941.0,7961.0,7977.0,8010.0,8021.0,8052.0,8065.0,8087.0,8102.0,8120.0,Construction+CES2000000001,Construction,CES2000000001
2014,1322.0,1329.7,1330.8,1342.8,1344.7,1352.8,1366.0,1375.1,1385.1,1383.9,1387.5,1389.1,Construction+CES2023600001,Construction,CES2023600001
2015,1399.0,1406.4,1406.6,1404.5,1415.5,1418.7,1427.3,1429.0,1433.1,1439.5,1452.4,1459.1,Construction+CES2023600001,Construction,CES2023600001
2016,1464.7,1473.3,1482.0,1489.5,1487.2,1489.1,1497.5,1495.7,1502.3,1510.0,1511.2,1513.7,Construction+CES2023600001,Construction,CES2023600001
2017,1520.8,1525.6,1528.0,1529.9,1538.3,1540.1,1542.7,1549.0,1552.0,1559.4,1567.5,1575.8,Construction+CES2023600001,Construction,CES2023600001
2018,1578.2,1597.4,1605.0,1615.0,1622.4,1629.1,1634.6,1637.0,1642.7,1642.3,1646.9,1649.9,Construction+CES2023600001,Construction,CES2023600001
2019,1651.6,1649.1,1653.9,1649.3,1651.1,1656.5,1662.4,1670.0,1670.1,1673.0,1672.1,1673.9,Construction+CES2023600001,Construction,CES2023600001
2020,1677.0,1686.6,1676.0,1452.4,1550.9,1578.7,1586.0,1598.1,1606.1,1621.1,1616.8,1622.4,Construction+CES2023600001,Construction,CES2023600001
2021,1626.4,1624.6,1642.0,1642.2,1644.8,1650.8,1661.6,1666.2,1682.6,1683.7,1696.2,1705.0,Construction+CES2023600001,Construction,CES2023600001
2022,1712.5,1727.3,1737.2,1746.0,1753.6,1753.2,1758.6,1759.5,1762.7,1769.4,1776.8,1787.5,Construction+CES2023600001,Construction,CES2023600001
2023,1800.2,1799.8,1796.2,1792.6,1797.7,1810.6,1807.1,1813.4,1819.5,1828.0,1829.8,1837.1,Construction+CES2023600001,Construction,CES2023600001
2014,632.4,641.6,642.4,650.5,650.0,657.1,665.1,669.8,677.3,674.1,676.7,672.6,Construction+CES2023610001,Construction,CES2023610001
2015,680.1,680.4,682.1,684.7,690.0,688.5,697.7,698.2,699.8,702.6,708.9,712.9,Construction+CES2023610001,Construction,CES2023610001
2016,714.2,717.0,720.5,726.2,726.8,727.4,728.1,734.3,744.9,743.8,744.0,741.9,Construction+CES2023610001,Construction,CES2023610001
2017,744.3,747.6,746.5,745.1,747.2,747.5,753.2,752.7,752.2,759.7,763.3,772.5,Construction+CES2023610001,Construction,CES2023610001
2018,776.7,785.2,787.9,792.9,798.1,802.2,803.0,802.1,803.8,803.4,808.8,812.7,Construction+CES2023610001,Construction,CES2023610001
2019,815.3,812.9,816.5,811.9,813.2,817.1,818.9,826.4,827.1,828.6,830.4,827.0,Construction+CES2023610001,Construction,CES2023610001
2020,827.0,835.3,832.7,708.0,772.0,794.8,804.0,811.0,820.5,828.9,827.0,836.0,Construction+CES2023610001,Construction,CES2023610001
2021,841.0,844.5,856.8,853.1,854.3,859.5,869.0,875.7,882.1,882.5,888.3,893.4,Construction+CES2023610001,Construction,CES2023610001
2022,899.9,907.8,911.8,916.7,923.5,921.7,925.9,925.6,924.5,926.8,925.4,928.2,Construction+CES2023610001,Construction,CES2023610001
2023,929.9,926.8,925.5,923.3,922.6,929.7,920.3,923.0,928.7,932.0,931.4,933.6,Construction+CES2023610001,Construction,CES2023610001
2014,689.6,688.1,688.4,692.3,694.7,695.7,700.9,705.3,707.8,709.8,710.8,716.5,Construction+CES2023620001,Construction,CES2023620001
2015,718.9,726.0,724.5,719.8,725.5,730.2,729.6,730.8,733.3,736.9,743.5,746.2,Construction+CES2023620001,Construction,CES2023620001
2016,750.5,756.3,761.5,763.3,760.4,761.7,769.4,761.4,757.4,766.2,767.2,771.8,Construction+CES2023620001,Construction,CES2023620001
2017,776.5,778.0,781.5,784.8,791.1,792.6,789.5,796.3,799.8,799.7,804.2,803.3,Construction+CES2023620001,Construction,CES2023620001
2018,801.5,812.2,817.1,822.1,824.3,826.9,831.6,834.9,838.9,838.9,838.1,837.2,Construction+CES2023620001,Construction,CES2023620001
2019,836.3,836.2,837.4,837.4,837.9,839.4,843.5,843.6,843.0,844.4,841.7,846.9,Construction+CES2023620001,Construction,CES2023620001
2020,850.0,851.3,843.3,744.4,778.9,783.9,782.0,787.1,785.6,792.2,789.8,786.4,Construction+CES2023620001,Construction,CES2023620001
2021,785.4,780.1,785.2,789.1,790.5,791.3,792.6,790.5,800.5,801.2,807.9,811.6,Construction+CES2023620001,Construction,CES2023620001
2022,812.6,819.5,825.4,829.3,830.1,831.5,832.7,833.9,838.2,842.6,851.4,859.3,Construction+CES2023620001,Construction,CES2023620001
2023,870.3,873.0,870.7,869.3,875.1,880.9,886.8,890.4,890.8,896.0,898.4,903.5,Construction+CES2023620001,Construction,CES2023620001
2014,894.5,896.6,902.2,905.2,909.5,910.6,912.7,914.1,918.9,919.6,922.5,930.0,Construction+CES2023700001,Construction,CES2023700001
2015,930.4,934.8,920.8,932.8,932.0,933.4,935.8,938.8,937.3,941.8,947.6,954.1,Construction+CES2023700001,Construction,CES2023700001
2016,948.9,948.4,954.9,956.8,946.9,946.3,949.9,941.4,950.5,963.1,965.2,953.3,Construction+CES2023700001,Construction,CES2023700001
2017,958.6,974.8,984.1,991.3,1000.0,1005.0,1006.3,1012.8,1010.0,1006.2,1004.7,1005.8,Construction+CES2023700001,Construction,CES2023700001
2018,1002.8,1025.5,1032.0,1024.3,1049.1,1058.5,1065.7,1071.7,1074.5,1073.8,1071.8,1068.9,Construction+CES2023700001,Construction,CES2023700001
2019,1070.6,1061.8,1067.1,1078.6,1078.5,1082.4,1082.0,1088.5,1096.0,1096.7,1095.4,1091.6,Construction+CES2023700001,Construction,CES2023700001
2020,1103.3,1103.9,1090.7,993.5,1032.9,1029.6,1030.1,1027.0,1025.9,1031.5,1035.0,1040.5,Construction+CES2023700001,Construction,CES2023700001
2021,1040.1,1022.1,1042.6,1043.2,1039.2,1034.8,1030.6,1026.5,1034.6,1045.4,1053.6,1058.5,Construction+CES2023700001,Construction,CES2023700001
2022,1049.5,1065.8,1067.6,1065.9,1069.7,1072.7,1075.5,1072.5,1074.5,1074.6,1081.9,1083.8,Construction+CES2023700001,Construction,CES2023700001
2023,1089.2,1104.6,1108.8,1104.3,1100.9,1111.5,1118.2,1124.6,1128.0,1129.7,1131.5,1134.7,Construction+CES2023700001,Construction,CES2023700001
2014,3768.9,3780.9,3804.9,3836.2,3854.7,3870.0,3899.3,3920.3,3938.0,3955.7,3962.4,3973.6,Construction+CES2023800001,Construction,CES2023800001
2015,3990.8,4019.6,4006.4,4054.3,4079.9,4088.8,4108.7,4122.2,4137.2,4165.6,4198.1,4216.8,Construction+CES2023800001,Construction,CES2023800001
2016,4217.2,4218.3,4241.5,4255.5,4254.5,4266.0,4287.4,4299.3,4315.3,4325.5,4346.5,4351.2,Construction+CES2023800001,Construction,CES2023800001
2017,4361.0,4380.8,4389.7,4394.4,4392.4,4416.9,4418.7,4440.3,4450.7,4465.0,4495.6,4509.4,Construction+CES2023800001,Construction,CES2023800001
2018,4512.0,4561.5,4556.8,4573.0,4602.8,4604.5,4617.3,4637.9,4657.6,4672.6,4667.7,4677.0,Construction+CES2023800001,Construction,CES2023800001
2019,4703.1,4683.9,4704.2,4739.7,4748.8,4762.6,4781.5,4771.7,4780.4,4783.4,4773.5,4761.8,Construction+CES2023800001,Construction,CES2023800001
2020,4799.3,4824.6,4779.2,4082.2,4426.0,4547.9,4576.3,4598.4,4619.0,4647.8,4666.3,4691.2,Construction+CES2023800001,Construction,CES2023800001
2021,4696.3,4651.6,4721.6,4721.2,4710.7,4701.5,4720.5,4736.3,4758.1,4784.2,4811.4,4830.4,Construction+CES2023800001,Construction,CES2023800001
2022,4824.6,4879.2,4899.5,4892.0,4919.9,4930.8,4952.2,4965.7,4988.3,4995.0,5001.2,5013.1,Construction+CES2023800001,Construction,CES2023800001
2023,5032.0,5042.1,5035.8,5064.5,5078.2,5088.1,5095.2,5114.0,5117.4,5129.4,5140.3,5148.2,Construction+CES2023800001,Construction,CES2023800001
2014,1615.4,1616.4,1629.8,1643.5,1654.8,1665.5,1677.2,1689.4,1699.8,1715.6,1714.9,1718.8,Construction+CES2023800101,Construction,CES2023800101
2015,1721.7,1734.6,1724.5,1752.9,1765.1,1769.8,1780.4,1782.8,1789.5,1796.6,1815.0,1824.6,Construction+CES2023800101,Construction,CES2023800101
2016,1826.9,1836.9,1844.8,1852.2,1848.0,1854.4,1862.8,1871.6,1882.6,1888.8,1902.5,1909.0,Construction+CES2023800101,Construction,CES2023800101
2017,1912.0,1920.4,1921.4,1928.7,1933.8,1942.5,1944.3,1957.0,1958.5,1963.4,1974.9,1984.1,Construction+CES2023800101,Construction,CES2023800101
2018,1980.8,2000.5,2004.7,2014.3,2027.5,2028.7,2032.8,2042.8,2051.4,2061.0,2060.4,2058.4,Construction+CES2023800101,Construction,CES2023800101
2019,2071.0,2056.9,2072.0,2081.3,2084.0,2086.7,2103.2,2094.4,2101.7,2105.1,2101.7,2097.5,Construction+CES2023800101,Construction,CES2023800101
2020,2117.3,2126.0,2116.2,1807.7,1982.4,2035.1,2061.3,2084.9,2102.9,2121.6,2138.0,2159.1,Construction+CES2023800101,Construction,CES2023800101
2021,2163.8,2141.7,2182.5,2183.4,2183.4,2183.3,2193.2,2203.0,2213.3,2225.3,2237.1,2241.6,Construction+CES2023800101,Construction,CES2023800101
2022,2249.3,2270.8,2299.1,2292.1,2309.2,2300.9,2309.7,2317.0,2326.5,2330.9,2334.1,2337.3,Construction+CES2023800101,Construction,CES2023800101
